OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
72,1430149,5299,117,WEAPON OFFENSE,22610 ILL POSS OF STUNGUN,3,3A,0702,1578023880000
73,1430151,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2B,0564,1577928600000
74,1430152,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,0912,1578027300000
75,1430153,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,2,2A,0233,1577869200000
76,1430157,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2C,0612,1577893380000
77,1430158,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,2,2B,0537,1577901780000
78,1430160,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0353,1578036600000
79,1430163,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,6,6C,1422,1577872800000
80,1430171,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,0221,1577995860000
81,1430182,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1623,1578017700000
82,1430184,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1286,1578028140000
83,1430185,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0763,1578030960000
84,1430186,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,1,1C,0429,1578042900000
85,1430187,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,2,2A,0513,1578046800000
86,1430190,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,4,4B,0969,1578004200000
87,1430199,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0903,1577930400000
88,1430200,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0703,1578083760000
89,1430204,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0725,1577872800000
90,1430208,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0841,1578000840000
91,1430210,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0619,1577994120000
92,1430215,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6A,1032,1578038520000
93,1430218,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0898,1577931300000
94,1430222,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,1577996880000
95,1430224,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0776,1577941680000
96,1430226,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1001,1578016800000
97,1430229,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0742,1578067500000
98,1430237,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6C,1424,1577958000000
99,1430239,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,5,5B,1621,1578011400000
100,1430240,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6C,1403,1577988300000
101,1430277,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,UI,1578002880000
102,1430278,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0744,1578004260000
103,1430282,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4B,1356,1578027540000
104,1430284,5212,73,WEAPON OFFENSE,25850(C)(4) LOADED GUN PRO PER,6,6A,1042,1578015060000
105,1430289,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,1,1A,0104,1577905560000
106,1430290,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1651,1577898120000
107,1430297,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1B,0478,1578083220000
108,1430300,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4B,0977,1578001260000
109,1430302,2604,0,FRAUD,529 PC FALSE PERSONATION,4,4A,0906,1578073620000
110,1430305,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,3,3A,0701,1578052800000
111,1430310,5212,54A,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-MISD,3,3M,0732,1577981880000
112,1430311,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3B,0738,1578095460000
113,1430312,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0735,1578062640000
114,1430313,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0734,1578066960000
115,1430314,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6D,0861,1578071100000
116,1430315,7399,78,PUBLIC ORDER,370 PC PUBLIC NUISANCE,3,3A,0715,1578071520000
117,1430317,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6D,0861,1578075540000
118,1430319,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6E,0878,1578024660000
119,1430326,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0776,1578017700000
120,1430327,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,5,5B,1369,1578087600000
121,1430328,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,5,5B,1631,1578077760000
122,1430330,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,1637,1578019740000
123,1430334,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3A,0715,1578112920000
124,1430336,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,3,3B,0748,1578112920000
125,1430341,2399,32,LARCENY,487(D)(2) GRAND THFT GUN <$950,5,5C,1606,1578103920000
126,1430342,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0773,1577934000000
127,1430343,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,3,3B,0748,1578121560000
128,1430346,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1522,1578003060000
129,1430351,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,2,2A,0512,1578065160000
130,1430353,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,6,6C,1405,1578075120000
131,1430356,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,6,6C,1441,1578077640000
132,1430357,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,1032,1578090960000
133,1430358,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1B,0421,1578114720000
134,1430359,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6A,1032,1578088800000
135,1430360,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2C,0623,1578094740000
136,1430361,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6D,0841,1578099660000
137,1430371,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1394,1578058200000
138,1430372,2399,2,LARCENY,484 PC PETTY THEFT,2,2B,0537,1578029400000
139,1430373,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,1578042000000
140,1430375,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0409,1577869260000
141,1430377,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,1578042000000
142,1430378,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0748,1577984400000
143,1430381,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0841,1578042000000
144,1430383,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1251,1577948400000
145,1430384,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3B,0718,1578031200000
146,1430385,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1B,0353,1578045600000
147,1430386,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1654,1577910000000
148,1430388,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0525,1578142800000
149,1430389,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0626,1578110400000
150,1430390,1299,3,ROBBERY,212.5(A)ROBBERY-INHAB DWELLING,5,5C,1644,1578084420000
151,1430391,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,5,5C,1639,1578029940000
152,1430400,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6B,1035,1578134580000
153,1430404,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0337,1578150060000
154,1430408,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,3,3B,0748,1578131220000
155,1430410,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0715,1578105600000
156,1430415,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0861,1577866140000
157,1430416,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0537,1578160800000
158,1430417,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4C,1279,1577921520000
159,1430418,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0744,1578154440000
160,1430419,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0725,1578159060000
161,1430423,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6B,1018,1577955300000
162,1430456,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,2,2A,0213,1578152400000
163,1430457,5401,1,TRAFFIC,20002(B) HIT/RUN-RUNAWAY VEH,2,2B,0523,1577997480000
164,1430467,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0435,1578008040000
165,1430468,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1A,0338,1578009060000
166,1430473,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0526,1578063000000
167,1430474,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6E,0876,1578155160000
168,1430476,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3A,0715,1578101280000
169,1430477,3599,50,NARCOTICS,4573.5 BRING DRUGS INTO JAIL,6,6B,1084,1578163080000
170,1430478,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,0564,1578099000000
171,1430481,5707,6,TRESPASS,602(L)(1)TRESPASS REFUSE TO LV,3,3A,0704,1578120960000
172,1430484,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,2,2C,0611,1577928480000
173,1430489,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4B,1326,1578183060000
174,1430490,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0618,1578084720000
175,1430491,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0619,1578198600000
176,1430493,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0746,1577998620000
177,1430495,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5C,1639,1578171000000
178,1430496,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0144,1578101700000
179,1430497,5499,452,TRAFFIC,14601.2(A) SUSP LIC-DUI CONVCT,4,4A,0937,1578193860000
180,1430498,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4A,0957,1578095400000
181,1430500,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0104,1578071400000
182,1430501,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,6,6C,1114,1578170700000
183,1430502,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,3,3A,0712,1578128040000
184,1430508,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,1578048420000
185,1430516,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,1578122280000
186,1430518,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,0746,1578217140000
187,1430520,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6D,0832,1577994360000
188,1430533,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2A,0224,1578177000000
189,1430540,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,1578198600000
190,1430542,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3A,0785,1578106800000
191,1430543,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0434,1578207600000
192,1430545,3532,1,DANGEROUS DRUG,11351 HS POSS/SALE COCAINE,2,2A,0233,1578126240000
193,1430546,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,1,1B,0435,1578021540000
194,1430547,3560,4,NARCOTICS,11359(C) POSS MARIJ FOR SALE-F,3,3A,0707,1578091020000
195,1430548,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,1605,1578216360000
196,1430549,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,4,4B,1351,1578211800000
197,1430550,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1132,1578206400000
198,1430551,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3B,0726,1578089160000
199,1430552,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0744,1578216960000
200,1430553,5499,113,TRAFFIC,4463(A)(1) VC ALTER REG-FEL,4,4C,1227,1578198300000
201,1430557,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1065,1577952000000
202,1430567,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,6,6C,1447,1578217800000
203,1430570,2803,04,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,2,2A,0226,1578209400000
204,1430571,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0449,1578207600000
205,1430572,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0908,1577904360000
206,1430573,5404,01,TRAFFIC,23152(B) DUI BAC >.08,6,6E,1116,1578234480000
207,1430576,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,5,5B,1358,1578208140000
208,1430577,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3A,0704,1578221100000
209,1430578,2308,0,LARCENY,484 PC PETTY THEFT/INSIDE,3,3M,0742,1578097140000
210,1430581,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,5,5C,1654,1578019200000
211,1430584,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1369,1578024900000
212,1430587,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,4,4B,1326,1578236400000
213,1430588,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,0912,1578030120000
214,1430589,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0712,1578263580000
215,1430590,5707,11,TRESPASS,587B PC TRESPASS RR/TRAIN,3,3A,0765,1578007860000
216,1430591,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,2,2B,0556,1578199380000
217,1430592,5403,1,TRAFFIC,23152(F) DUI DRUGS,2,2C,0601,1578243780000
218,1430596,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,1441,1578246660000
219,1430601,5707,0,PRIVACY,602 PC TRESPASS,2,2C,0618,1578269400000
220,1430602,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6B,1065,1578265140000
221,1430607,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6E,1117,1578211200000
222,1430608,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,6,6E,1101,1578183240000
223,1430609,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0746,1578050280000
224,1430610,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6D,0832,1578129120000
225,1430611,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1603,1578022200000
226,1430612,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0726,1577976240000
227,1430623,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6D,0861,1577993220000
228,1430624,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,1578111300000
229,1430625,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0306,1578104700000
230,1430627,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0444,1578148800000
231,1430628,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0736,1578143700000
232,1430629,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1605,1578150000000
233,1430631,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1653,1577928660000
234,1430632,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0517,1578157500000
235,1430638,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2A,0232,1578125400000
236,1430639,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6B,1068,1578027600000
237,1430640,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1058,1578142800000
238,1430643,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,5,5B,1633,1578276360000
239,1430644,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5C,1623,1578282540000
240,1430646,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1359,1578148200000
241,1430647,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1C,0407,1578119100000
242,1430648,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5B,1631,1578155400000
243,1430650,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,0421,1578124800000
244,1430651,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0747,1578018000000
245,1430652,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0616,1578106200000
246,1430654,5499,132,TRAFFIC,23109(C) EXHIBITION OF SPEED,1,1A,0334,1578284580000
247,1430655,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1B,0435,1578273600000
248,1430657,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3B,0767,1578214080000
249,1430658,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3A,0764,1578266880000
250,1430660,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6C,1132,1578268020000
251,1430661,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6A,1034,1578269100000
252,1430662,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,5,5A,1394,1578270060000
253,1430663,0999,1,HOMICIDE,187(A) HOMICIDE,2,2B,0545,1578294960000
254,1430666,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1403,1578280860000
255,1430673,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1606,1578284040000
256,1430674,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,3,3B,0736,1578286620000
257,1430675,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6B,1054,1577946900000
258,1430676,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4C,1259,1578047640000
259,1430678,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0908,1578100860000
260,1430683,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,0603,1578152340000
261,1430684,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1634,1578161460000
262,1430686,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,1406,1578174600000
263,1430688,2999,35,VANDALISM,594(A)(2) VANDALISM-DAMAGE,2,2C,0558,1578240000000
